adm0,adm1,adm2,exp,rep,reprat
Somaliland,Awdal Region,Baki District,1080,479,0.44351851851851853
Somaliland,Awdal Region,Borama District,1740,857,0.4925287356321839
Somaliland,Awdal Region,Lughaya District,1020,421,0.41274509803921566
Somaliland,Awdal Region,Zeila District,1080,462,0.42777777777777776
Somaliland,Marodi-Jeh Region,Baligubadle District,900,545,0.6055555555555555
Somaliland,Marodi-Jeh Region,Gabiley District,1740,722,0.4149425287356322
Somaliland,Marodi-Jeh Region,Hargeisa District,4080,1960,0.4803921568627451
Somaliland,Sahil Region,Berbera District,2700,905,0.3351851851851852
Somaliland,Sahil Region,Sheikh District,1020,472,0.4627450980392157
Somaliland,Sanag Region,Badhan District,720,276,0.38333333333333336
Somaliland,Sanag Region,Dhahar District,540,191,0.3537037037037037
Somaliland,Sanag Region,El-Afweyn District,1080,259,0.23981481481481481
Somaliland,Sanag Region,Erigavo District,3060,877,0.28660130718954246
Somaliland,Sanag Region,Garadag District,360,136,0.37777777777777777
Somaliland,Sanag Region,Las-qoreh  District,240,75,0.3125
Somaliland,Sool Region,Hudun District,780,190,0.24358974358974358
Somaliland,Sool Region,Laasaanod District,2820,1229,0.4358156028368794
Somaliland,Sool Region,Taleeh District,600,227,0.37833333333333335
Somaliland,Togdher Region,Ainabo District,840,296,0.3523809523809524
Somaliland,Togdher Region,Buhodle District,1680,486,0.2892857142857143
Somaliland,Togdher Region,Buroa District,3300,1544,0.4678787878787879
Somaliland,Togdher Region,Odweine District,1860,426,0.22903225806451613
